voltage(v),current(uA),weight(kgs),step_location,Power(mW)
7.52,50.89,53,Center,0.38
16.1,51.45,59,Edge,0.83
21.7,54.9,63,Center,1.19
6.05,52.86,54,Edge,0.32
33.7,52.06,76,Center,1.75
26.39,54.59,69,Edge,1.44
29.8,49.55,73,Center,1.48
19.7,53.35,63,Center,1.05
26.5,48.64,72,Center,1.29
30.8,51.56,75,Corner,1.59
13.9,47.06,61,Corner,0.65
25.5,52.13,71,Edge,1.33
18.6,54.66,64,Edge,1.02
6.07,47.51,54,Edge,0.29
21.8,51.65,65,Center,1.13
0,0,53,Center,0
28.4,53.39,73,Center,1.52
27.9,50.93,69,Center,1.42
25.9,46.24,71,Edge,1.2
5.05,49.54,51,Edge,0.25
2.18,50.76,50,Corner,0.11
26.3,54.93,71,Edge,1.44
37.1,50.61,80,Center,1.88
4.67,54.42,54,Corner,0.25
19.3,49.85,66,Edge,0.96
24,51.48,69,Corner,1.24
11.5,49.51,58,Corner,0.57
26.5,47.65,68,Center,1.26
27.9,52.69,70,Center,1.47
4.21,48.5,51,Corner,0.2
4.32,46.61,52,Corner,0.2
5.21,50.06,54,Edge,0.26
26.8,45.08,70,Center,1.21
0,0,77,Edge,0
24.7,49.88,69,Edge,1.23
29,54.11,70,Center,1.57
26.8,52.57,71,Center,1.41
7.4,45.27,56,Center,0.33
18.2,49.16,64,Edge,0.89
24.1,49.52,73,Corner,1.19
12.8,51.35,61,Corner,0.66
21.2,51.16,65,Center,1.08
13.7,48.88,61,Corner,0.67
19.6,45.5,64,Center,0.89
6.2,50.74,53,Edge,0.31
23.7,50.3,65,Corner,1.19
4.96,53.33,55,Corner,0.26
16.1,53.59,60,Edge,0.86
32,47.2,74,Corner,1.51
26.1,52.31,68,Edge,1.37
23.4,52.86,69,Corner,1.24
0,0,80,Edge,0
25.7,50.01,70,Edge,1.29
27.6,47.9,73,Center,1.32
13.9,48.72,62,Corner,0.68
14.5,52.83,63,Corner,0.77
53.7,54.88,89,Center,2.95
16.4,46.21,65,Edge,0.76
11.4,54.02,58,Corner,0.62
7.6,47.46,54,Center,0.36
5,51.17,52,Corner,0.26
24.3,47.05,64,Center,1.14
0,0,73,Center,0
22,48.95,66,Corner,1.08
24.1,53.29,71,Corner,1.28
19.4,49.48,65,Edge,0.96
33.7,53.06,77,Corner,1.79
20.5,48.87,63,Corner,1
19.8,49.06,66,Center,0.97
17,46.47,64,Edge,0.79
14.4,45.91,62,Corner,0.66
34.6,48.58,79,Center,1.68
26.4,52.11,70,Center,1.38
23.9,47.2,67,Center,1.13
35.1,46.79,81,Center,1.64
33.8,50.08,76,Edge,1.69
23.9,50.06,72,Corner,1.2
19.6,51.27,64,Center,1
5.02,46.26,53,Corner,0.23
0,0,66,Center,0
4.59,52.01,57,Corner,0.24
6.54,54.76,54,Edge,0.36
25.3,49.01,72,Edge,1.24
18.2,52.56,58,Edge,0.96
15.5,49.67,63,Corner,0.77
9.5,49.55,56,Center,0.47
26.4,52.58,69,Center,1.39
35.2,45.09,78,Center,1.59
22,54.36,66,Corner,1.2
43.4,49.92,86,Corner,2.17
19.4,45.6,66,Center,0.88
16.2,47.53,64,Edge,0.77
23.4,53.44,68,Corner,1.25
6.3,52.13,55,Edge,0.33
24.3,52.69,64,Edge,1.28
16.4,49.12,62,Edge,0.81
7.77,52.85,55,Center,0.41
51.2,50.21,87,Center,2.57
19.6,49.06,61,Center,0.96
29.4,46.68,72,Center,1.37
19.4,47.74,65,Center,0.93
9.9,47.17,57,Center,0.47
25.2,49.57,70,Edge,1.25